name,brand,upc,source,created_at,category,alt_group,serving_g,calories,carbs_g,fiber_g,sugar_g,added_sugar_g,sugar_alcohols_g,protein_g,fat_g,sodium_mg,ingredients_text,__display,net_carbs_g,categories_all
The Original Coconut Water,Vita Coco,898999010007,openfoodfacts,2025-09-09T20:09:39.820757,drink,drink,240.0,45.12,11.5,,10.008,1.001,,0.0,0.0,104.88,"COCONUT WATER, SUGAR, ASCORBIC ACID (VITAMIN C)","{'carbs_g': '11.5g', 'fiber_g': 'not listed', 'sugar_g': '10.0g', 'added_sugar_g': '1.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '105mg'}",11.5,
Coconut Water With Pressed Coconut,Vita Coco,898999010144,openfoodfacts,2025-09-09T20:10:07.745644,drink,drink,500.0,120.0,24.0,,20.0,,,0.0,2.5,75.0,"Coconut Water, Coconut Purée, Fructose 1%, Vitamin C, Stabiliser: Gellan Gum","{'carbs_g': '24.0g', 'fiber_g': 'not listed', 'sugar_g': '20.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '2.5g', 'sodium_mg': '75mg'}",24.0,
Redbull,Red Bull,90162602,openfoodfacts,2025-09-09T20:09:39.050278,drink,drink,250.0,115.0,27.5,,27.5,,,0.0,0.0,97.5,"Carbonated Water, Sugar, Glucose, Citric Acid, Taurine, Natural flavors, Artificial Flavors, Sodium Bicarbonate, Magnesium Carbonate, Artificial Colors, Caffeine, Niacinamide, Pyridoxine Hci, Calcium Pantothenate, Vitamin B12.","{'carbs_g': '27.5g', 'fiber_g': 'not listed', 'sugar_g': '27.5g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '98mg'}",27.5,
2-minute Noodles,Maggi,941458000290,openfoodfacts,2025-09-09T20:05:12.724580,grain,pasta-noodles,70.0,310.0,44.0,2.0,2.0,,,6.0,13.0,470.0,"refined wheat flour, palm oil, iodised salt, wheat gluten, potassium chloride, guar gum, potassium carbonate, sodium bicarbonate, sodium tripolyphosphate, onion powder, coriander powder, turmeric powder, red chili powder, garlic powder, cumin powder, aniseed powder, ginger powder, fenugreek powder, black pepper powder, clove powder, green cardamom powder, nutmeg powder, hydrolysed groundnut protein, sugar, palm oil, starch, iodised salt, potassium chloride, disodium ribonucleotides, toasted onion flakes, acidity regulator, citric acid, caramel color, mineral, wheat gluten","{'carbs_g': '44.0g', 'fiber_g': '2.0g', 'sugar_g': '2.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '13.0g', 'sodium_mg': '470mg'}",42.0,
Rolled Oats,Trader Joe's,957649,openfoodfacts,2025-09-09T20:02:17.251613,grain,oats,45.0,170.0,31.0,5.0,0.0,0.0,,6.0,3.0,0.0,WHOLE GRAIN ROLLED OATS,"{'carbs_g': '31.0g', 'fiber_g': '5.0g', 'sugar_g': '0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '3.0g', 'sodium_mg': '0mg'}",26.0,
Pistachios,Kirkland Signature,96619034352,openfoodfacts,2025-09-09T20:07:21.907423,nut,nuts-seeds,60.0,170.0,8.0,3.0,2.0,,,6.0,14.0,0.115,"Dry roasted pistachios, salt,.","{'carbs_g': '8.0g', 'fiber_g': '3.0g', 'sugar_g': '2.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '14.0g', 'sodium_mg': '0mg'}",5.0,
Butter Toffee Cashews,Kirkland Signature,96619047697,openfoodfacts,2025-09-09T20:07:23.476355,nut,nuts-seeds,34.0,61.2,5.44,0.34,3.74,3.4,,1.02,4.08,0.0204,"CASHEWS, SUGAR, BUTTER, SEASONING (SUGAR, BROWN SUGAR, NATURAL FLAVORS, SEA SALT), TOFFEE BITS (SUGAR, BROWN SUGAR, NATURAL FLAVORS, SALT), PEANUT OIL, BROWN SUGAR, NATURAL FLAVOR (NATURAL FLAVOR, SUGAR), SEA SALT.","{'carbs_g': '5.4g', 'fiber_g': '0.3g', 'sugar_g': '3.7g', 'added_sugar_g': '3.4g', 'sugar_alcohols_g': 'not listed', 'protein_g': '1.0g', 'fat_g': '4.1g', 'sodium_mg': '0mg'}",5.1000000000000005,
Shelled Pistachios,Kirkland Signature,96619107698,openfoodfacts,2025-09-09T20:06:59.655403,nut,nuts-seeds,100.0,625.0,29.0,9.9,8.0,,,21.0,45.0,523.0,"Pistachios, Sea Salt.","{'carbs_g': '29.0g', 'fiber_g': '9.9g', 'sugar_g': '8.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '21.0g', 'fat_g': '45.0g', 'sodium_mg': '523mg'}",19.1,
Fancy Whole Cashews with Sea Salt,Kirkland,96619142453,openfoodfacts,2025-09-09T20:06:54.993180,nut,nuts-seeds,28.349,160.0,8.0,1.0,2.0,0.0,,5.0,13.0,85.0,"Cashews, peanut Oil, sea Salt","{'carbs_g': '8.0g', 'fiber_g': '1.0g', 'sugar_g': '2.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '13.0g', 'sodium_mg': '85mg'}",7.0,
Organic Whole Brazil Nuts,Kirkland Signature,96619189281,openfoodfacts,2025-09-09T20:07:05.805784,nut,nuts-seeds,30.0,210.0,4.0,2.0,1.0,0.0,,4.0,20.0,0.0,Organic Whole Brazil Nuts,"{'carbs_g': '4.0g', 'fiber_g': '2.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '4.0g', 'fat_g': '20.0g', 'sodium_mg': '0mg'}",2.0,
HEART HEALTHY MIXED NUTS,KIRKLAND Signature,96619196470,openfoodfacts,2025-09-09T20:07:06.609937,nut,nuts-seeds,30.0,200.0,8.0,3.0,1.0,,,3.0,17.0,0.0,"Dry roasted almonds, walnuts, dry roasted hazelnuts, dry roasted pistachios.","{'carbs_g': '8.0g', 'fiber_g': '3.0g', 'sugar_g': '1.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '17.0g', 'sodium_mg': '0mg'}",5.0,
SUPER EXTRA-LARGE PEANUTS,KIRKLAND Signature,96619222490,openfoodfacts,2025-09-09T20:06:58.060819,nut,nuts-seeds,30.0,566.666666666667,20.0,10.0,0.0,0.0,,26.6666666666667,50.0,0.4,"_PEANUTS_, PEANUT OIL, SALT.","{'carbs_g': '20.0g', 'fiber_g': '10.0g', 'sugar_g': '0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '26.7g', 'fat_g': '50.0g', 'sodium_mg': '0mg'}",10.0,
Dry Roasted Macadamia Nuts With Sea Salt,Kirkland Signature,96619332731,openfoodfacts,2025-09-09T20:07:12.340388,nut,nuts-seeds,28.0,210.0,4.0,2.0,2.0,,,2.0,21.0,100.0,"Macadamia nuts, Sea Salt.","{'carbs_g': '4.0g', 'fiber_g': '2.0g', 'sugar_g': '2.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '2.0g', 'fat_g': '21.0g', 'sodium_mg': '100mg'}",2.0,
Walnuts,Kirkland Signature,96619362851,openfoodfacts,2025-09-09T20:07:00.459577,nut,nuts-seeds,30.0,200.0,4.0,2.0,1.0,0.0,,5.0,20.0,0.0,Walnuts,"{'carbs_g': '4.0g', 'fiber_g': '2.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '20.0g', 'sodium_mg': '0mg'}",2.0,
Cashew Clusters with Almonds and Pumpkin Seeds,Kirkland Signature,96619440498,openfoodfacts,2025-09-09T20:06:58.867181,nut,nuts-seeds,28.0,160.0,11.0,1.0,5.0,4.0,,5.0,11.0,0.095,"Cashews, Almonds, Cane Sugar, Pumpkin Seed Kernels, Rice Syrup, Sea Salt, Honey.","{'carbs_g': '11.0g', 'fiber_g': '1.0g', 'sugar_g': '5.0g', 'added_sugar_g': '4.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '11.0g', 'sodium_mg': '0mg'}",10.0,
